combo,mean_f1,std_f1
"('B10', 'B4', 'B2', 'B7', 'B9')",0.647647686942389,0.004181137097538247
"('B11', 'B4', 'B2', 'B1', 'B6')",0.6467674811085904,0.0019953471905697507
"('B5', 'B4', 'B3', 'B6', 'B9')",0.6467521565888438,0.005527268793249849
"('B11', 'B4', 'B2', 'B1', 'B8')",0.6464373857293735,0.0025217278096949275
"('B11', 'B4', 'B3', 'B2', 'B8')",0.6462615057097861,0.0030648868427432655
"('B10', 'B11', 'B4', 'B7')",0.646088774900198,0.004442945382585613
"('B10', 'B5', 'B3', 'B1', 'B8')",0.6458615391116651,0.0032426367068545577
"('B10', 'B4', 'B2', 'B6', 'B8')",0.6458370919463553,0.004371320252287046
"('B5', 'B4', 'B3', 'B1', 'B6')",0.6453343051218504,0.004935947491336942
"('B11', 'B4', 'B2', 'B6', 'B7')",0.6451308217298525,0.003635594222936435
"('B10', 'B11', 'B2', 'B1', 'B6')",0.6449041301560282,0.001988136885857022
"('B11', 'B5', 'B3', 'B6', 'B7')",0.644751802993583,0.002945814028273737
"('B5', 'B4', 'B2', 'B6', 'B9')",0.6447259049286131,0.00391007589899818
"('B10', 'B11', 'B2', 'B6', 'B9')",0.6444374086200703,0.0010894870132212339
"('B11', 'B4', 'B1', 'B6', 'B8')",0.6441384461226252,0.0026678591460888774
"('B10', 'B11', 'B3', 'B6', 'B8')",0.6440005830795538,0.004245127929069426
"('B10', 'B5', 'B2', 'B1', 'B8')",0.6438993616384,0.003867523671982717
"('B10', 'B11', 'B2', 'B1', 'B9')",0.6438192651049442,0.003166044074174329
"('B10', 'B11', 'B3', 'B2', 'B7')",0.6437315218254854,0.0015371594399901545
"('B10', 'B11', 'B5', 'B4', 'B3')",0.6436641051530715,0.003318480712153112
"('B11', 'B5', 'B3', 'B1', 'B7')",0.6435512360733967,0.0025033175827315584
"('B10', 'B4', 'B1', 'B7', 'B8')",0.643420824705944,0.0027003034609984237
"('B11', 'B5', 'B3', 'B6', 'B8')",0.6434207999641819,0.0014007514045836459
"('B11', 'B5', 'B2', 'B1', 'B6')",0.6432442193614004,0.0030339925761272367
"('B5', 'B4', 'B1', 'B6', 'B9')",0.6432234947902741,0.006357975872348208
"('B11', 'B5', 'B3', 'B1', 'B6')",0.643092724132721,0.0017937710767613818
"('B10', 'B11', 'B2', 'B6', 'B7')",0.6430024997042546,0.002948597566852362
"('B10', 'B5', 'B3', 'B6', 'B7')",0.6426159128886967,0.004569628907219908
"('B10', 'B5', 'B1', 'B6', 'B7')",0.6420785077110419,0.005340750718994978
"('B10', 'B11', 'B2', 'B1', 'B8')",0.6416003089390377,0.0027875726168620106
"('B11', 'B5', 'B2', 'B1', 'B7')",0.641288493374435,0.0023370111788756686
"('B10', 'B5', 'B3', 'B6', 'B8')",0.6412286992062376,0.003864873334075692
"('B10', 'B4', 'B1', 'B8', 'B9')",0.6411643166857747,0.0033188149600332324
"('B11', 'B4', 'B1', 'B6', 'B7')",0.640859597448601,0.004811356971002161
"('B10', 'B5', 'B4', 'B7', 'B8')",0.6404713899964662,0.004531674010254491
"('B10', 'B11', 'B4', 'B8')",0.6401056477420946,0.0044512545128535
"('B4', 'B3', 'B1', 'B6', 'B9')",0.640081768356605,0.003003801321972129
"('B10', 'B11', 'B4', 'B9')",0.640053975663786,0.005084286335390235
"('B11', 'B5', 'B3', 'B1', 'B9')",0.6398908053951642,0.002406256359004278
"('B10', 'B5', 'B6', 'B7', 'B9')",0.6394251846936522,0.0020855594486782003
